"Field Name","Field Label","Field Type","Field Help","Model","Related Model","Required"
"active","Active","boolean","","Warehouse","",""
"buy_pull_id","Buy rule","many2one","","Warehouse","stock.rule",""
"buy_to_resupply","Buy to Resupply","boolean","When products are bought, they can be delivered to this warehouse","Warehouse","",""
"code","Short Name","char","Short name used to identify your warehouse","Warehouse","","True"
"company_id","Company","many2one","The company is automatically set from your user preferences.","Warehouse","res.company","True"
"create_date","Created on","datetime","","Warehouse","",""
"create_uid","Created by","many2one","","Warehouse","res.users",""
"crossdock_route_id","Crossdock Route","many2one","","Warehouse","stock.route",""
"delivery_route_id","Delivery Route","many2one","","Warehouse","stock.route",""
"delivery_steps","Outgoing Shipments","selection","Default outgoing route to follow","Warehouse","","True"
"display_name","Display Name","char","","Warehouse","",""
"id","ID","integer","","Warehouse","",""
"in_type_id","In Type","many2one","","Warehouse","stock.picking.type",""
"int_type_id","Internal Type","many2one","","Warehouse","stock.picking.type",""
"is_internal","Is Internal Warehouse","boolean","","Warehouse","",""
"lot_stock_id","Location Stock","many2one","","Warehouse","stock.location","True"
"manu_type_id","Manufacturing Operation Type","many2one","","Warehouse","stock.picking.type",""
"manufacture_mto_pull_id","Manufacture MTO Rule","many2one","","Warehouse","stock.rule",""
"manufacture_pull_id","Manufacture Rule","many2one","","Warehouse","stock.rule",""
"manufacture_steps","Manufacture","selection","1 Step: Consume components from stock and produce.
              2 Steps: Pick components from stock and then produce.
              3 Steps: Pick components from stock, produce, and then move final product(s) from production area to stock.","Warehouse","","True"
"manufacture_to_resupply","Manufacture to Resupply","boolean","When products are manufactured, they can be manufactured in this warehouse.","Warehouse","",""
"mto_pull_id","MTO rule","many2one","","Warehouse","stock.rule",""
"name","Warehouse","char","","Warehouse","","True"
"out_type_id","Out Type","many2one","","Warehouse","stock.picking.type",""
"pack_type_id","Pack Type","many2one","","Warehouse","stock.picking.type",""
"partner_id","Address","many2one","","Warehouse","res.partner",""
"pbm_loc_id","Picking before Manufacturing Location","many2one","","Warehouse","stock.location",""
"pbm_mto_pull_id","Picking Before Manufacturing MTO Rule","many2one","","Warehouse","stock.rule",""
"pbm_route_id","Picking Before Manufacturing Route","many2one","","Warehouse","stock.route",""
"pbm_type_id","Picking Before Manufacturing Operation Type","many2one","","Warehouse","stock.picking.type",""
"pick_type_id","Pick Type","many2one","","Warehouse","stock.picking.type",""
"qc_type_id","Quality Control Type","many2one","","Warehouse","stock.picking.type",""
"reception_route_id","Receipt Route","many2one","","Warehouse","stock.route",""
"reception_steps","Incoming Shipments","selection","Default incoming route to follow","Warehouse","","True"
"resupply_route_ids","Resupply Routes","one2many","Routes will be created for these resupply warehouses and you can select them on products and product categories","Warehouse","stock.route",""
"resupply_wh_ids","Resupply From","many2many","Routes will be created automatically to resupply this warehouse from the warehouses ticked","Warehouse","stock.warehouse",""
"route_ids","Routes","many2many","Defaults routes through the warehouse","Warehouse","stock.route",""
"sam_loc_id","Stock after Manufacturing Location","many2one","","Warehouse","stock.location",""
"sam_rule_id","Stock After Manufacturing Rule","many2one","","Warehouse","stock.rule",""
"sam_type_id","Stock After Manufacturing Operation Type","many2one","","Warehouse","stock.picking.type",""
"sequence","Sequence","integer","Gives the sequence of this line when displaying the warehouses.","Warehouse","",""
"store_type_id","Storage Type","many2one","","Warehouse","stock.picking.type",""
"view_location_id","View Location","many2one","","Warehouse","stock.location","True"
"wh_input_stock_loc_id","Input Location","many2one","","Warehouse","stock.location",""
"wh_output_stock_loc_id","Output Location","many2one","","Warehouse","stock.location",""
"wh_pack_stock_loc_id","Packing Location","many2one","","Warehouse","stock.location",""
"wh_qc_stock_loc_id","Quality Control Location","many2one","","Warehouse","stock.location",""
"write_date","Last Updated on","datetime","","Warehouse","",""
"write_uid","Last Updated by","many2one","","Warehouse","res.users",""
"x_aa_default_storage_location_id","Exact default storage location id","char","GUID of the default WarehousingLocation in Exact Online. Stored as a reference only — not resolved to stock.location because location migration was out of scope (x_aa_use_storage_locations = False).","Warehouse","",""
"x_aa_email","Exact email","char","","Warehouse","",""
"x_aa_exact_id","Exact id","char","","Warehouse","",""
"x_aa_is_main","Exact main warehouse","boolean","True when this warehouse is flagged as the primary warehouse in Exact Online. Controls the Odoo sequence field: sequence=1 is set automatically when this flag is True.","Warehouse","",""
"x_aa_manager_user_id","Exact manager user id","char","","Warehouse","",""
"x_aa_use_storage_locations","Exact use storage locations","boolean","Mirrors the Exact Online UseStorageLocations flag. False for all warehouses in the current migration — WarehousingLocations were not migrated.","Warehouse","",""
"xdock_type_id","Cross Dock Type","many2one","","Warehouse","stock.picking.type",""
